Id,price,name,neighborhood_overview,host_id,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable
D7PBB,85.0,Condo in Oakland · ★4.83 · 1 bedroom · 1 bed · 1 bath,,28403349,2015-02-26,"Oakland, CA","Family with a Travel bug, but too much work. ",within a day,100%,80%,t,1.0,"['email', 'phone']",t,t,Piedmont Avenue,37.82517,-122.2546,Entire condo,Entire home/apt,4,1 bath,,1.0,[],30,180,30,30,180,180,30.0,180.0,t,0,18,48,323,6,4,0,2022-11-25,2023-10-01,4.83,5.0,5.0,5.0,5.0,5.0,4.67,f
S7TXP,220.0,Home in Pacifica · ★5.0 · 4 bedrooms · 5 beds · 2.5 baths,"This is a quiet neighborhood, so being respectful of neighbors and noise is necessary.  Smoking should be conducted outside ONLY with proper care for ashes and butts (big pet peeve).",49289432,2015-11-17,"Pacifica, CA","I mostly keep to myself with respect to the environment for visiting guests.  My living area is separate from the guest apartment, so I really only check in to make sure stays are going well.  If you need anything at all, I’m more than happy to jump in and get what you need.  Avid traveler, foodie, handyman, movie watcher.  I spend a lot of time working on my home, both large and small projects.  I love working in the yard, gardening, etc.  ",,,,f,1.0,"['email', 'phone']",t,t,Pacifica,37.65426,-122.4837,Entire home,Entire home/apt,8,2.5 baths,,5.0,[],30,1125,30,30,1125,1125,30.0,1125.0,t,0,0,0,264,8,1,0,2017-09-09,2023-10-31,5.0,5.0,4.88,5.0,5.0,5.0,5.0,f
DWEIH,600.0,Serviced apartment in San Francisco · ★New · 2 bedrooms · 4 beds · 2 baths,San Francisco Museum of Modern Art - 1.2 miles; <br />Oracle Park - 1.7 miles; <br />Coit Tower - 2.1 miles; <br />Aquarium of the Bay - 2.2 miles;  <br />Pier 39 - 2.2 miles; <br />Alcatraz - 2.4 miles; <br />San Francisco Botanical Garden - 4.0 miles; <br />Golden Gate Bridge - 5.1 miles; <br />San Francisco Zoo - 13.0 miles; <br />San Francisco International Airport - 13 miles;,501999278,2023-02-20,,,within an hour,100%,87%,f,1734.0,"['email', 'phone']",t,t,South of Market,37.78263,-122.40907,Entire serviced apartment,Entire home/apt,8,2 baths,,4.0,"[""TV"", ""Air conditioning"", ""Smoke alarm"", ""Luggage dropoff allowed"", ""Pets allowed"", ""Fire extinguisher"", ""Coffee maker"", ""Private entrance"", ""Carbon monoxide alarm"", ""Iron"", ""Extra pillows and blankets"", ""Hangers"", ""Wifi"", ""Heating"", ""Building staff"", ""Hot water"", ""Dedicated workspace"", ""Gym"", ""First aid kit"", ""Paid parking on premises"", ""Essentials"", ""Self check-in"", ""Shampoo"", ""Bed linens""]",1,1125,1,1,1,1125,1.0,72.9,t,26,52,82,347,0,0,0,,,,,,,,,,t
W7EAM,136.0,Rental unit in San Jose · ★4.95 · 1 bedroom · 2 beds · 1 bath,,412994221,2021-07-14,"San Jose, CA",,within an hour,100%,100%,t,11.0,"['email', 'phone', 'work_email']",t,t,San Jose,37.32195,-121.88125,Entire rental unit,Entire home/apt,3,1 bath,,2.0,[],3,28,1,3,1125,1125,3.0,1125.0,t,26,56,86,86,75,32,0,2021-08-07,2023-11-08,4.95,4.92,4.93,4.95,4.92,4.63,4.73,f
ECCBG,235.0,Home in Oakland · ★4.66 · 2 bedrooms · 2 beds · 1 bath,,142525508,2017-07-25,"New York, NY",A host with attention to details and service,within an hour,100%,100%,f,2.0,"['email', 'phone']",t,t,Fairview Park,37.84802,-122.25345,Entire home,Entire home/apt,7,1 bath,,2.0,[],2,1125,2,2,1125,1125,2.0,1125.0,t,14,34,64,150,144,21,1,2017-09-03,2023-11-25,4.66,4.78,4.79,4.93,4.88,4.89,4.59,t
UPQG3,450.0,Home in Menlo Park · 2 bedrooms · 2 beds · 1 shared bath,Great location near Stanford Hospital and Sand Hill Road.,5612106,2013-03-25,"Menlo Park, CA",Dynamic ,,,100%,f,4.0,"['email', 'phone']",t,t,Unincorporated Areas,37.42928,-122.19403,Private room in home,Private room,3,1 shared bath,,2.0,[],1,30,1,1,30,30,1.0,30.0,t,30,60,90,365,0,0,0,,,,,,,,,,f
ZZYK6,62.0,Rental unit in San Jose · 1 bedroom · 1 bed · 1 private bath,,473223342,2022-08-04,,,,,0%,f,1.0,"['email', 'phone']",t,f,San Jose,37.31846301054195,-121.90962002425712,Private room in rental unit,Private room,2,1 private bath,,1.0,[],30,150,30,30,150,150,30.0,150.0,t,29,59,89,364,0,0,0,,,,,,,,,,f
LQBRJ,76.0,Home in Oakland · ★4.92 · 1 bedroom · 1 bed · 1 private bath,"Less than 10 minutes walk to restaurants, gym, farmers market, stores, and bus stations.",225154137,2018-11-10,"Oakland, CA","Hi, we are Angel and Jay. We had run bussiness for many years and  we enjoy meeting new people. 

We rebuilt and reconstructed this house to put this place on Airbnb. As a host, we want to make sure everyone enjoy living here and feel comfortable.",within an hour,100%,98%,t,8.0,"['email', 'phone']",t,t,Upper Laurel,37.78848,-122.19471,Private room in home,Private room,2,1 private bath,,1.0,[],1,360,1,1,360,360,1.0,360.0,t,23,53,83,173,89,20,0,2019-09-17,2023-10-22,4.92,5.0,4.96,4.89,4.98,4.76,4.91,f
3QZN8,380.0,Home in Oakland · ★4.86 · 2 bedrooms · 2 beds · 1.5 baths,The Neighborhood/Attractions: <br />* Laurel and Fruitvale are in the immediate neighborhood; Lake Merritt is about 3 mi away.,528378,2011-04-22,"Oakland, CA","I have rented from private parties during my travels which made for great experiences. I hope to provide you with same. I have many interests including travel, photography, philosophy, politics, yoga, DIY, etc.",,,,f,2.0,"['email', 'phone', 'work_email']",t,t,Upper Peralta Creek-Bartlett,37.7905,-122.20855,Entire home,Entire home/apt,4,1.5 baths,,2.0,[],3,1125,3,3,1125,1125,3.0,1125.0,t,30,60,90,365,7,0,0,2015-06-24,2018-04-29,4.86,5.0,4.86,5.0,5.0,4.71,5.0,f
H4OG0,68.0,Home in Oakland · 1 bedroom · 1 bed · 1 private bath,,60446635,2016-02-26,"Oakland, CA",I'm a software engineering manager who works in San Francisco. I myself enjoy traveling and meeting new people. I've lived in four continents before that and always interested in learning new languages.,within an hour,100%,83%,f,4.0,"['email', 'phone', 'work_email']",t,t,Prescott,37.80864,-122.29995,Private room in home,Private room,1,1 private bath,,1.0,[],31,50,31,31,50,50,31.0,50.0,t,27,57,87,87,1,0,0,2022-12-01,2022-12-01,4.0,5.0,3.0,4.0,5.0,2.0,4.0,f
QRPXU,402.0,Boutique hotel in San Francisco · 2 bedrooms · 3 beds · 1 private bath,"So many top attractions are within walking distance, including Pier 39, the Imaginarium, Harbor tours (including Alcatraz), Ghirardelli Square (Ice cream!), Fisherman's Wharf, Boudin Bakery and Museum, Wax Museum, tourist shops, and amazing restaurants. You have easy access to the ""F"" streetcar to take you to the Union Square area and lots more to see and do.",47514427,2015-10-26,"Penn Valley, CA","My wife and I are retired teachers who love to travel. Our favorite places to visit are Puerto Vallarta and American National Parks. We also plan to travel more in Europe, Australia, and New Zealand. We live in Northern California and love to share our local knowledge with our guests who stay at our time share resorts in San Francisco or Napa.",within an hour,100%,75%,t,88.0,"['email', 'phone']",t,t,Russian Hill,37.8055,-122.42058,Room in boutique hotel,Private room,6,1 private bath,,3.0,"[""Security cameras on property"", ""Hair dryer"", ""TV"", ""Dishwasher"", ""Air conditioning"", ""Smoke alarm"", ""Elevator"", ""Crib"", ""Private living room"", ""Luggage dropoff allowed"", ""Patio or balcony"", ""Coffee maker"", ""Dryer"", ""Washer"", ""Carbon monoxide alarm"", ""Cooking basics"", ""Iron"", ""Hangers"", ""Wifi"", ""Heating"", ""Kitchen"", ""Building staff"", ""Hot water"", ""Paid parking on premises"", ""Lock on bedroom door"", ""Refrigerator"", ""Essentials"", ""Stove"", ""Self check-in"", ""Shampoo"", ""Dishes and silverware"", ""Bed linens"", ""Pack \u2019n play/Travel crib"", ""Microwave""]",2,1125,2,2,1125,1125,2.0,1125.0,t,19,45,73,159,2,1,0,2022-06-02,2023-05-04,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f
YA8IQ,281.0,Home in San Jose · 2 bedrooms · 2 beds · 1 bath,,66926812,2016-04-12,"San Jose, CA",,within a day,100%,100%,f,1.0,"['email', 'phone', 'work_email']",t,t,San Jose,37.244880016016815,-121.859578223114,Entire home,Entire home/apt,3,1 bath,,2.0,[],1,3,1,1,3,3,1.0,3.0,t,28,58,88,363,2,2,2,2023-11-25,2023-12-17,4.5,5.0,5.0,5.0,5.0,4.5,5.0,f
74GWG,107.0,Guest suite in South San Francisco · ★4.93 · Studio · 1 bed · 1 bath,,3191973,2012-08-08,"South San Francisco, CA","Hello, we are Melissa and Neri :)
We are happily married and live in South San Francisco.  Being raised in beautiful San Francisco and belonging from such a diverse and multi-cultural city has exposed us to all types of delicious foods from a round the world and created it a passion.  We Love to travel, meet new people and see new things!  ",within an hour,100%,99%,t,3.0,"['email', 'phone']",t,t,South San Francisco,37.66537,-122.40854,Entire guest suite,Entire home/apt,2,1 bath,,1.0,[],1,1125,1,1,1125,1125,1.0,1125.0,t,0,0,0,0,347,60,6,2020-09-07,2023-12-07,4.93,4.95,4.97,4.96,4.95,4.82,4.83,t
5O9J6,125.0,Rental unit in San Francisco · ★5.0 · 1 bedroom · 1 bed · 1 bath,This apartment is located on a quiet ally (John St). It sits at the nexus between Russian Hill / Chinatown & North Beach. Close to the water & within walking distance to some great local restaurant's & cafes.,50070073,2015-11-28,"San Francisco, CA","29 years young and loving every minute of life on the West Coast. I was born to host and love meeting people from all walks of life. Hospitality is in my blood being raised by a strong southern women in Chapel Hill, North Carolina. I am currently working for Square as a Recruiter and have a passion for all things small business. When I'm not bartending on the weekends, I’m doing something outdoors. From surfing up and down the California coastline to playing golf, basketball, hiking, skiing, to simply hanging out in the parks with my friends. Prior to moving out west, I played college basketball for William & Mary. After graduation I headed overseas to play professionally for a small island team in Rhodes Greece. Happy to answer any additional questions you may have and I look forward to hosting you! ",,,,f,1.0,"['email', 'phone', 'work_email']",t,t,Nob Hill,37.79619,-122.41189,Entire rental unit,Entire home/apt,3,1 bath,,1.0,"[""TV"", ""Lockbox"", ""Air conditioning"", ""Smoke alarm"", ""Oven"", ""Free parking on premises"", ""Pets allowed"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Cooking basics"", ""Iron"", ""Wifi"", ""Heating"", ""BBQ grill"", ""Kitchen"", ""Dedicated workspace"", ""Refrigerator"", ""Essentials"", ""Stove"", ""Self check-in"", ""Backyard"", ""Shampoo"", ""Dishes and silverware""]",30,30,30,30,30,30,30.0,30.0,t,0,0,0,0,12,0,0,2017-07-24,2018-03-23,5.0,5.0,4.75,5.0,5.0,5.0,4.92,f
SCTCN,106.0,Rental unit in Oakland · 2 bedrooms · 2 beds · 1 bath,"Quiet residential community. Six minute walk to Highland Hospital, and a ten minute walk to Lake Merit, where joggers and bikers frequent. <br />Also Trader Joe's, Grand Lake Theater, Starbucks and a host of sidewalk cafes and eateries are nearby.",478745120,2022-09-08,,,within an hour,100%,67%,f,1.0,"['email', 'phone']",t,t,Lynn-Highland Park,37.80259540826751,-122.23560533168082,Entire rental unit,Entire home/apt,4,1 bath,,2.0,[],28,90,19,28,90,90,27.5,90.0,t,16,46,76,89,1,1,0,2023-09-10,2023-09-10,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f
N4AC8,305.0,Home in Oakland · ★4.45 · 3 bedrooms · 3 beds · 1.5 baths,,537968235,2023-09-19,"San Francisco, CA",,within an hour,90%,100%,f,3.0,"['email', 'phone']",t,t,Piedmont Pines,37.82416111343055,-122.1916203084146,Entire home,Entire home/apt,8,1.5 baths,,3.0,[],3,365,3,3,365,365,3.0,365.0,t,0,0,0,0,10,10,1,2023-09-21,2023-11-25,4.45,4.73,4.27,4.73,4.36,4.91,4.55,t
VG7PZ,304.0,Condo in San Francisco · 1 bedroom · 2 beds · 1 bath,,410094341,2021-06-30,,,,,,f,39.0,"['email', 'phone']",t,t,Chinatown,37.79076,-122.40825,Entire condo,Entire home/apt,4,1 bath,,2.0,"[""Essentials"", ""Heating"", ""Stove"", ""Microwave"", ""Shampoo"", ""Dishes and silverware"", ""Oven"", ""Kitchen"", ""Coffee maker"", ""Private entrance"", ""Hot water"", ""Hair dryer"", ""Cooking basics"", ""First aid kit"", ""Iron"", ""Bed linens"", ""Wifi"", ""Body soap"", ""TV with standard cable"", ""Paid parking off premises""]",1,365,1,4,3,30,1.0,29.4,t,0,0,0,11,0,0,0,,,,,,,,,,t
4P6MG,544.0,Home in San Jose · ★New · 5 bedrooms · 7 beds · 5 baths,,546089913,2023-11-11,,,within an hour,100%,100%,f,3.0,"['email', 'phone']",t,t,San Jose,37.3119,-121.92819,Entire home,Entire home/apt,16,5 baths,,7.0,[],1,365,1,1,365,365,1.0,365.0,t,24,54,84,263,1,1,1,2023-12-15,2023-12-15,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t
RS2XB,713.0,Home in Atherton · ★4.91 · 4 bedrooms · 4 beds · 3 baths,"Our neighborhood is a lovely tree lined street with families.  We are nearby to Holbrook Palmer Park, Stanford University, San Francisco and San Jose.",617641,2011-05-23,"Atherton, CA",We have several listings on Airbnb.  Our beach house in NJ is available to rent as well as our listings in San Francisco Bay Area.  We are a family that have 2 extra bedrooms in our CA home since our older 2 children have graduated college and out on their own.  Our nest is a bit empty and think it will be fun to host people when visiting our area!,within an hour,100%,78%,t,4.0,"['email', 'phone']",t,t,Atherton,37.4597,-122.19563,Entire home,Entire home/apt,6,3 baths,,4.0,[],29,365,29,29,365,365,29.0,365.0,t,30,60,90,365,11,0,0,2011-06-09,2017-08-04,4.91,4.73,4.91,5.0,5.0,5.0,4.36,f
1M0HX,401.0,Townhouse in Capitola · ★4.83 · 3 bedrooms · 4 beds · 3 baths,"This unit is located in the heart of Capitola Village, across the street from the beach and wharf. Amazing location!",15867956,2014-05-22,"Santa Cruz, CA","Surf City Rentals is your local, dedicated team offering remarkable vacation homes in Surf City! Our comfortable, well-appointed rentals are stocked with amenities for an unforgettable stay. Explore Surf City with us, and begin your memorable vacation.",within an hour,100%,99%,t,55.0,"['email', 'phone']",t,t,City of Capitola,36.97061,-121.95373,Entire townhouse,Entire home/apt,7,3 baths,,4.0,[],1,90,1,30,1125,1125,7.3,1125.0,t,0,0,30,290,24,5,0,2021-04-27,2023-10-01,4.83,4.83,4.79,4.92,4.96,4.96,4.5,t
E43NK,135.0,Home in San Francisco · ★4.54 · 3 bedrooms · 3 beds · 1 bath,"Peet’s coffee, Noah’s Bagels, if you head in one direction, authentic family style Chinese and Korean restaurants, in another direction, surfer’s coffee houses down toward the beach and Mexican, Italian, Peruvian, French, Middle Eastern,  and Indian restaurants toward town in quaint West Portal, a small town vibe district in The City.  Friendly neighbors abound here. It is  great place for ambling around the neighborhood, or for tranquil walks  in the park or on the beach.  It’s often foggy morning and evening but never super cold and when the sun shines, it is glorious.",22652126,2014-10-17,"San Francisco, CA","Happy, healthy, respectful, responsible, love to read and travel.",within a few hours,100%,100%,f,1.0,"['email', 'phone']",t,t,Lakeshore,37.73589,-122.4864,Entire home,Entire home/apt,4,1 bath,,3.0,"[""Park view"", ""Dining table"", ""Hot water kettle"", ""Hair dryer"", ""Dishwasher"", ""Lockbox"", ""Bikes"", ""Indoor fireplace"", ""Smoke alarm"", ""Toaster"", ""Oven"", ""Free parking on premises"", ""Luggage dropoff allowed"", ""Free street parking"", ""Pets allowed"", ""Fire extinguisher"", ""Coffee maker"", ""Private entrance"", ""Dryer"", ""Washer"", ""Carbon monoxide alarm"", ""Cooking basics"", ""Wine glasses"", ""Iron"", ""Single level home"", ""Extra pillows and blankets"", ""Hangers"", ""Wifi"", ""Heating"", ""Beach access"", ""Kitchen"", ""Hot water"", ""Dedicated workspace"", ""Books and reading material"", ""First aid kit"", ""Conditioner"", ""Cleaning products"", ""Body soap"", ""Bathtub"", ""Refrigerator"", ""Essentials"", ""Stove"", ""Self check-in"", ""Backyard"", ""Pool table"", ""Shampoo"", ""Dishes and silverware"", ""Long term stays allowed"", ""Clothing storage: closet and dresser"", ""Private patio or balcony"", ""Fireplace guards"", ""Children\u2019s books and toys"", ""Lake access"", ""Bed linens"", ""Microwave"", ""Lake view"", ""TV with standard cable""]",30,1125,30,30,1125,1125,30.0,1125.0,t,13,43,73,348,71,2,0,2019-02-17,2023-05-01,4.54,4.8,3.93,4.9,4.85,4.9,4.68,f
UOOVB,537.0,Home in Daly City · ★4.99 · 4 bedrooms · 8 beds · 2.5 baths,"This property is located in the Southern Hills neighborhood of Daly City. It's a very quiet and safe residential area. There is a children playground very close by. A wide selection of restaurants, shopping, and grocery available nearby.",237305099,2019-01-17,"Hillsborough, CA","I have been living in the bay area for most of my life and I absolutely love it here. I am a tech exec and am passionate about bringing more advanced tech to improve our lives. I am bilingual, I love cuisines from all over the world. I am a health nut and I love running. I am here on this platform to share my beautiful home and to welcome you to this stunning & culture rich bay area.",within an hour,100%,100%,t,1.0,"['email', 'phone']",t,t,Daly City,37.70527,-122.43009,Entire home,Entire home/apt,10,2.5 baths,,8.0,[],2,1125,2,2,1125,1125,2.0,1125.0,t,20,50,80,170,75,24,2,2020-02-23,2023-12-10,4.99,4.97,5.0,4.97,4.99,4.91,4.91,t
IFGZV,135.0,Home in Morgan Hill · 1 bedroom · 1 bed · 1 bath,,81464601,2016-07-03,"Morgan Hill, CA",,within an hour,100%,93%,t,3.0,"['email', 'phone']",t,t,Morgan Hill,37.132180467285984,-121.68887057780144,Entire home,Entire home/apt,2,1 bath,,1.0,[],2,365,2,2,365,365,2.0,365.0,t,17,47,77,243,0,0,0,,,,,,,,,,t
ZAYYS,90.0,Home in Palo Alto · ★5.0 · 1 bedroom · 1 bed · 1 private bath,"Well maintained, tree lined North Palo Alto neighborhood. Convenient walking distance to parks, library, public pool, 2 grocery stores, pharmacies, coffee shops and great restaurants!",24747675,2014-12-11,"Palo Alto, CA",,within a few hours,100%,100%,t,2.0,"['email', 'phone']",t,t,Palo Alto,37.44129,-122.13176,Private room in home,Private room,2,1 private bath,,1.0,[],2,90,2,2,90,90,2.0,90.0,t,16,34,46,136,42,36,0,2022-09-09,2023-11-17,5.0,4.98,5.0,5.0,5.0,5.0,4.9,f
DWSIJ,230.0,Home in Redwood City · ★4.95 · 2 bedrooms · 2 beds · 2 baths,"The house is in a family neighborhood.  You'll find a grocery store, Starbucks and 7-11 within a mile.  Downtown Redwood City is about 1.5 miles away and downtown Palo Alto is about 3 miles away - both have many great restaurants and shops!",67227974,2016-04-14,"Menlo Park, CA",I'm a software developer and product manager and have lived in Silicon Valley for over 20 years.  I have three teenage children that attend college and the local  high school. I'd love to chat with you if you have questions about the area and I can be of help!,within an hour,100%,89%,t,4.0,"['email', 'phone']",t,t,Redwood City,37.4818,-122.19757,Entire home,Entire home/apt,4,2 baths,,2.0,[],4,180,2,6,180,180,3.9,180.0,t,16,46,76,350,149,28,2,2017-11-20,2023-12-21,4.95,4.99,4.97,4.99,4.99,4.86,4.9,f
F1KPU,50.0,Home in San Francisco · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,We are very close to San Francisco State University's main campus and the Stonestown shopping center.  There is a farmer's market at the Stonestown parking lot every Sunday morning.,8859272,2013-09-15,"San Francisco, CA","I am a retired nurse and my husband, Arkady, is a software engineer.  We have 3 adult children, twins (son and daughter) and a younger son.  We've welcomed exchange students and other international visitors to our home for over 20 years.  Our interests include movies, theater, music, skiing, hiking, travel.  We enjoy trying new restaurants and attending fairs and festivals.",within a few hours,100%,60%,t,2.0,"['email', 'phone']",t,t,Lakeshore,37.7248,-122.47402,Private room in home,Private room,1,1 shared bath,,1.0,"[""Hair dryer"", ""TV"", ""Smoke alarm"", ""Oven"", ""Free washer \u2013 In building"", ""Fire extinguisher"", ""Breakfast"", ""Coffee maker"", ""Dryer"", ""Hangers"", ""Wifi"", ""Heating"", ""Kitchen"", ""Hot water"", ""Dedicated workspace"", ""GE gas stove"", ""Refrigerator"", ""Essentials"", ""Dishes and silverware"", ""Private backyard \u2013 Fully fenced"", ""Host greets you"", ""Microwave""]",30,1125,30,30,1125,1125,30.0,1125.0,t,0,7,7,192,3,1,0,2017-09-02,2023-08-12,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f
Z0RMV,105.0,Guest suite in Santa Clara · ★5.0 · 1 bedroom · 1 bed · 1 bath,Quiet residential neighborhood on side street.,482709312,2022-10-08,"Santa Clara, CA","I'm an engineer working from my home office in the field of satellite navigation. My wife Sally and I have two sons, one in college and one wrapping up high school. I run, play roller and ice hockey, and do some genealogy research in my spare time. ",within an hour,100%,97%,t,1.0,"['email', 'phone']",t,t,Santa Clara,37.34591,-121.97325,Entire guest suite,Entire home/apt,3,1 bath,,1.0,[],2,28,2,5,2,1125,3.6,1076.0,t,9,33,39,96,42,36,3,2022-11-26,2023-12-08,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f
XTBYC,202.0,Rental unit in Aptos · ★4.83 · 2 bedrooms · 3 beds · 2 baths,"The beach area has a public restrooms, Deli, Market, coffee shop, and two restaurants.<br /><br /><br />Rancho Del Mar Shopping Center is close by and has shops, pizza, ice cream, many restaurants, grocery store, movies, and a gas station.",16262596,2014-06-01,"San Francisco, CA","Hi I am Sundeep and I live in San Francisco. I am always terrible with these describe yourself things but I enjoy traveling, watching sports, beer tasting and meeting new people. 

My favorite travel destination is Germany but I also like those friendly Canadians and the next place on my travel wishlist is Thailand as I love Thai food. I also enjoy being near water specifically the beach and hearing the crashing of the waves. 

I would make a great host because professionally I work in real estate and know how to manage my properties and make my residents be it short or long term happy. I also love food and am always willing to give a dining recommendation.

My life motto can be summed up in this quote about positivity;

Success is failure turned inside out–
The silver tint of the clouds of doubt,
And you never can tell how close you are,
It may be near when it seems so far;
So stick to the fight when you’re hardest hit–
It’s when things seem worst that you must not quit.",within an hour,100%,100%,t,5.0,"['email', 'phone']",t,t,Unincorporated Areas,36.967304171096494,-121.90202377511378,Entire rental unit,Entire home/apt,6,2 baths,,3.0,[],2,29,2,2,29,29,2.0,29.0,t,0,0,0,0,573,56,1,2014-06-16,2023-12-23,4.83,4.86,4.76,4.92,4.89,4.93,4.65,t
IE29M,299.0,Condo in San Francisco · ★4.89 · Studio · 2 beds · 1 bath,,22267033,2014-10-08,"Reno, NV","Time share owner, foodie, traveler.  I have access to many locations not listed here, so if you're looking - let me know where and I'm happy to check in to it for you. ",within a day,95%,19%,f,78.0,"['email', 'phone', 'work_email']",t,t,Downtown/Civic Center,37.78751,-122.40929,Entire condo,Entire home/apt,4,1 bath,,2.0,"[""Essentials"", ""Heating"", ""Hot tub"", ""Self check-in"", ""Microwave"", ""Fire extinguisher"", ""Shampoo"", ""Coffee maker"", ""Building staff"", ""Hair dryer"", ""TV"", ""Gym"", ""Air conditioning"", ""Iron"", ""Smoke alarm"", ""Elevator"", ""Hangers"", ""Single level home"", ""Wifi"", ""Refrigerator""]",2,365,2,2,365,365,2.0,365.0,t,29,54,84,359,9,0,0,2017-11-01,2022-09-23,4.89,4.78,5.0,5.0,5.0,5.0,4.67,f
XEA6A,575.0,Home in Palo Alto · ★4.96 · 3 bedrooms · 3 beds · 3 baths,"The surrounding neighborhood is a quiet area made up of one or two story single family homes.  Architecture in the area is varied with many traditional bungalow style homes, as well as contemporary glass and concrete homes.  People maintain their property befitting the expensive real estate in Palo Alto.  The area known as Downtown North provides easy access to parks, shops, restaurants and offices.",112578380,2017-01-21,"Palo Alto, CA","Hello, I’m Tyler. I have lived in Palo Alto, CA off-and-on for 18 years for school and work. I love and respect our Palo Alto and Airbnb world communities and take pride in hosting and traveling with great care and consideration. For me, travel adventures and quality human connections make life rich and empower growth. I am always looking to experience and learn new things, and look forward to connecting with you and doing my part to increase tolerance, understanding, and kindness as we venture out of our comfort zones!",within an hour,100%,100%,t,1.0,"['email', 'phone']",t,t,Palo Alto,37.45094,-122.15999,Entire home,Entire home/apt,6,3 baths,,3.0,[],2,180,1,2,1125,1125,2.0,1125.0,t,7,35,59,330,210,34,1,2018-09-09,2023-11-25,4.96,4.97,4.86,4.97,4.98,5.0,4.78,t
OQNOX,75.0,Guest suite in San Jose · ★4.74 · Studio · 1 bed · 1 bath,"The Sage Boho Bungalow is located in the residential Alum Rock neighborhood. It’s in close proximity to the essentials (and 15 minutes from downtown San Jose!). It’s next to the East Foothills which contains Alum Rock Park within the Sierra Open Space Preserve, as well as San Jose Country Club.",107103934,2016-12-13,"San Jose, CA","Welcome to San Jose! Our names are Ezer & Liberty. We’re proud parents of 4 grown-up children and 5 grandkids. Both of us grew up farming in a small village. Ezer works in grocery, while Liberty is a full-time grandma. We are very family-oriented and love to help you feel right at home. If you need a babysitter during your stay, Liberty provides in-unit babysitting services (go on, enjoy a date night or take some “me” time). Hospitality is in our DNA!",within a day,50%,85%,f,4.0,"['email', 'phone']",t,t,San Jose,37.36705,-121.81933,Entire guest suite,Entire home/apt,2,1 bath,,1.0,[],1,28,1,1,28,28,1.0,28.0,t,0,0,0,19,38,4,0,2021-11-18,2023-05-29,4.74,4.74,4.71,4.97,4.97,4.53,4.66,f
ZC99V,110.0,Rental unit in San Francisco · 2 bedrooms · 4 beds · 1 shared bath,"Close to General Hospital, Potrero hill community center, playground several blocks away.",74125906,2016-05-26,"Midland Park, NJ","I enjoy hosting and Travelling while using Airbnb. A great opportunity to get to know other people and cultures. I'm easy going, accommodating, respectful of others.  I try to see the positive aspects and potential in anything and everyone so we can all  draw a greater  experience and moment. Laughter is a big plus.  It is about people after all.  Cheers to all!!",within an hour,100%,88%,f,14.0,"['email', 'phone']",t,t,Potrero Hill,37.75745,-122.40151,Private room in rental unit,Private room,4,1 shared bath,,4.0,"[""Security cameras on property"", ""Hair dryer"", ""TV"", ""Lockbox"", ""Air conditioning"", ""Smoke alarm"", ""Free parking on premises"", ""Pets allowed"", ""Fire extinguisher"", ""Patio or balcony"", ""Coffee maker"", ""Private entrance"", ""Carbon monoxide alarm"", ""Cooking basics"", ""Iron"", ""Hangers"", ""Heating"", ""Kitchen"", ""Hot water"", ""Dedicated workspace"", ""Fast wifi \u2013 311 Mbps"", ""First aid kit"", ""Refrigerator"", ""Essentials"", ""Self check-in"", ""Backyard"", ""Shampoo""]",30,1125,30,30,1125,1125,30.0,1125.0,t,30,60,90,365,0,0,0,,,,,,,,,,f
41KNG,70.0,Guest suite in Oakland · ★4.71 · 1 bedroom · 1 bed · 1 bath,,123639428,2017-03-31,"Oakland, CA","An accountant by profession. Into travel, photography, fitness and healthy eating.",within an hour,100%,100%,f,3.0,"['email', 'phone']",t,t,Harrington,37.78353,-122.21462,Entire guest suite,Entire home/apt,2,1 bath,,1.0,[],4,1125,4,4,1125,1125,4.0,1125.0,t,30,60,90,365,101,5,0,2017-12-03,2023-08-20,4.71,4.87,4.79,4.94,4.93,4.31,4.75,f
